trace_index,call_type,from,to,value_eth,decoded_input
214,delegatecall,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0x559bee76ec549e70630e451d46cb442ef5c230fd,0.0,takeToken(address=0x9adb8c52f0d845739fd3e035ed230f0d4cba785a)
215,call,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0.0,takeToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
216,delegatecall,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0x559bee76ec549e70630e451d46cb442ef5c230fd,0.0,takeToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
217,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0.0,getReserves()
218,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x10ed43c718714eb63d5aa57b78b54704e256024e,0.0,WETH()
219,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,balanceOf(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
220,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0.0,getReserves()
221,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x10ed43c718714eb63d5aa57b78b54704e256024e,0.0,WETH()
222,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,balanceOf(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
223,staticcall,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x55d398326f99059ff775485246999027b3197955,0.0,balanceOf(address=0x0a5c6e7be1bd17e928ce128a356064831d8cbaeb)
224,staticcall,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0.0,getReserves()
225,staticcall,0x10ed43c718714eb63d5aa57b78b54704e256024e,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0.0,balanceOf(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
226,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0.0,earnedToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
227,delegatecall,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0x559bee76ec549e70630e451d46cb442ef5c230fd,0.0,earnedToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
228,call,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0.0,"swap(uint256=6952160758996,uint256=0,address=0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,bytes=0x)"
229,call,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,"transfer(address=0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,uint256=6952160758996)"
230,staticcall,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,balanceOf(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
231,staticcall,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0.0,balanceOf(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
232,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0.0,earnedToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
233,delegatecall,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0x559bee76ec549e70630e451d46cb442ef5c230fd,0.0,earnedToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
234,staticcall,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,0.0,getReserves()
235,staticcall,0x10ed43c718714eb63d5aa57b78b54704e256024e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,balanceOf(address=0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae)
